,usuarioA,usuarioB
295,126338,126338
296,126338,8604205
297,126338,126338
298,126338,126338
299,126338,126338
300,126338,8604205
301,126338,126338
302,126338,8604205
303,6676633,1153097
304,1470998,8604205
305,490562,8604205
306,5377968,1153097
307,5377968,5377968
308,5377968,1153097
309,5377968,5377968
310,5377968,5377968
311,5377968,5377968
312,5377968,1153097
313,5377968,1153097
314,5377968,5377968
315,5377968,1153097
316,5377968,15655
317,5377968,5377968
318,5377968,1153097
319,5377968,8604205
320,4421318,4421318
321,4421318,1153097
322,4421318,8604205
323,1102667,8604205
324,1102667,1703387
325,1102667,976608
326,1102667,1102667
327,1102667,94334
328,1102667,976608
329,1102667,94334
330,1102667,7975804
331,1102667,3169836
332,1102667,2113757
333,1102667,6418221
334,1102667,16228200
335,1102667,7511417
336,1102667,94334
337,1102667,912521
338,1102667,25871546
339,1102667,30648730
340,8604205,8604205
341,8604205,89246
342,813661,5377968
343,813661,5377968
344,20733968,20733968
345,20733968,1153097
346,20733968,20733968
347,7763533,8604205
348,7763533,7763533
349,7763533,8604205
350,7763533,1153097
351,7763533,7763533
352,7763533,8604205
353,7763533,7763533
354,7763533,8604205
355,8604205,15655
356,8604205,8604205
357,8604205,8604205
358,9265540,8604205
359,9265540,1153097
360,9265540,8604205
361,9265540,9265540
362,19954227,8604205
363,19954227,1703387
364,19954227,8604205
365,19954227,1703387
366,19954227,8604205
367,997038,8604205
368,997038,8604205
369,997038,997038
370,997038,997038
371,997038,997038
372,997038,8604205
373,997038,997038
374,997038,997038
375,997038,997038
376,997038,997038
377,997038,5384588
378,997038,5384588
379,997038,997038
380,997038,5384588
381,997038,5384588
382,997038,8604205
383,997038,997038
384,1703387,1153097
385,1703387,1703387
386,1703387,1703387
387,1703387,1703387
388,1703387,8604205
389,1703387,1153097
390,1703387,1703387
391,1703387,7140322
392,1703387,8604205
393,1621036,8604205
394,5724118,8604205
395,5724118,89246
396,5724118,1153097
397,5724118,1153097
398,5724118,92239
399,5724118,8604205
400,5724118,92239
401,5724118,8604205
402,5867866,8604205
403,5867866,5867866
404,5867866,5867866
405,5867866,8604205
406,976608,8604205
407,976608,976608
408,4113649,8604205
409,4113649,4113649
410,4113649,4113649
411,4113649,8604205
412,4113649,12198372
413,1636604,8604205
414,11558041,1153097
415,11558041,11558041
416,11558041,1153097
417,11558041,976608
418,11558041,1153097
419,11558041,391394
420,11558041,1153097
421,11558041,8158578
422,11558041,1727586
423,11558041,15655
424,15608729,1153097
425,1662412,8604205
426,1662412,976608
427,1662412,8604205
428,1662412,1758366
429,1662412,8604205
430,1662412,1703387
431,1662412,976608
432,1662412,15655
433,1662412,1758366
434,1662412,976608
435,1662412,8604205
436,1662412,15655
437,1662412,8604205
438,1662412,413772
439,1662412,413772
440,1662412,6257356
441,1662412,6500326
442,82745,1153097
443,82745,82745
